 op_id | Executor |  Time (ms)
------------------------------
     1 |   client |       0.10
     2 |   server |      15.83
     4 |   client |       0.10
     5 |   server |       3.93
     8 |   client |       0.06
     9 |   server |      32.76
    10 |   client |       0.28
    11 |   server |      32.41
   101 |   client |       0.07
   102 |   server |      10.25
   104 |   client |       0.06
   105 |   server |       3.96
   108 |   client |       0.06
   109 |   server |      33.41
   110 |   client |       0.29
   111 |   server |      30.12
   201 |   client |       0.06
   202 |   server |       9.70
   204 |   client |       0.05
   205 |   server |       3.71
   208 |   client |       0.06
   209 |   server |      31.75
   210 |   client |       0.28
   211 |   server |      29.20
   301 |   client |       0.07
   302 |   server |       9.41
   304 |   client |       0.06
   305 |   server |       3.67
   308 |   client |       0.06
   309 |   server |      30.57
   310 |   client |       0.26
   311 |   server |      28.61
   401 |   client |       0.06
   402 |   server |      10.08
   404 |   client |       0.08
   405 |   server |       3.90
   408 |   client |       0.07
   409 |   server |      31.04
   410 |   client |       0.28
   411 |   server |      29.38
   501 |   client |       0.08
   502 |   server |      11.13
   504 |   client |       0.05
   505 |   server |       3.96
   508 |   client |       0.05
   509 |   server |      33.27
   510 |   client |       0.30
   511 |   server |      28.24
   601 |   client |       0.06
   602 |   server |       9.52
   604 |   client |       0.05
   605 |   server |       4.10
   608 |   client |       0.06
   609 |   server |      31.78
   610 |   client |       0.27
   611 |   server |      30.69
   701 |   client |       0.07
   702 |   server |      10.63
   704 |   client |       0.06
   705 |   server |       3.92
   708 |   client |       0.06
   709 |   server |      36.82
   710 |   client |       0.28
   711 |   server |      30.85
   801 |   client |       0.08
   802 |   server |       9.51
   804 |   client |       0.06
   805 |   server |       3.95
   808 |   client |       0.06
   809 |   server |      30.97
   810 |   client |       0.30
   811 |   server |      28.80
   901 |   client |       0.06
   902 |   server |      10.43
   904 |   client |       0.06
   905 |   server |       3.75
   908 |   client |       0.06
   909 |   server |      34.26
   910 |   client |       0.27
   911 |   server |      28.85
  1001 |   client |       0.06
  1002 |   server |       9.14
  1004 |   client |       0.05
  1005 |   server |       4.33
  1008 |   client |       0.06
  1009 |   server |      37.27
  1010 |   client |       0.30
  1011 |   server |      35.06
  1101 |   client |       0.07
  1102 |   server |      10.22
  1104 |   client |       0.08
  1105 |   server |       4.14
  1108 |   client |       0.06
  1109 |   server |      57.90
  1110 |   client |       0.26
  1111 |   server |      36.15
  1201 |   client |       0.07
  1202 |   server |     122.49
