 op_id | Executor |  Time (ms)
------------------------------
     2 |   server |      10.68
     3 |   server |       1.04
     5 |   server |       0.02
     6 |   server |       2.48
     7 |   server |       0.00
     9 |   server |      31.05
    11 |   server |      30.18
    12 |   server |       0.01
   102 |   server |       8.94
   103 |   server |       0.09
   105 |   server |       0.02
   106 |   server |       2.59
   107 |   server |       0.00
   109 |   server |      31.76
   111 |   server |      27.50
   112 |   server |       0.01
   202 |   server |       8.59
   203 |   server |       0.09
   205 |   server |       0.01
   206 |   server |       2.58
   207 |   server |       0.00
   209 |   server |      30.24
   211 |   server |      27.11
   212 |   server |       0.00
   302 |   server |       8.25
   303 |   server |       0.09
   305 |   server |       0.01
   306 |   server |       2.47
   307 |   server |       0.00
   309 |   server |      29.10
   311 |   server |      26.60
   312 |   server |       0.00
   402 |   server |       8.36
   403 |   server |       0.09
   405 |   server |       0.02
   406 |   server |       2.61
   407 |   server |       0.00
   409 |   server |      29.52
   411 |   server |      26.93
   412 |   server |       0.01
   502 |   server |       9.81
   503 |   server |       0.08
   505 |   server |       0.01
   506 |   server |       2.73
   507 |   server |       0.00
   509 |   server |      31.46
   511 |   server |      26.19
   512 |   server |       0.01
   602 |   server |       8.11
   603 |   server |       0.09
   605 |   server |       0.02
   606 |   server |       2.68
   607 |   server |       0.00
   609 |   server |      30.03
   611 |   server |      28.61
   612 |   server |       0.01
   702 |   server |       9.25
   703 |   server |       0.10
   705 |   server |       0.02
   706 |   server |       2.58
   707 |   server |       0.00
   709 |   server |      35.05
   711 |   server |      28.55
   712 |   server |       0.01
   802 |   server |       8.29
   803 |   server |       0.09
   805 |   server |       0.01
   806 |   server |       2.55
   807 |   server |       0.00
   809 |   server |      29.32
   811 |   server |      26.65
   812 |   server |       0.01
   902 |   server |       9.08
   903 |   server |       0.08
   905 |   server |       0.01
   906 |   server |       2.50
   907 |   server |       0.00
   909 |   server |      32.14
   911 |   server |      26.82
   912 |   server |       0.01
  1002 |   server |       8.03
  1003 |   server |       0.08
  1005 |   server |       0.01
  1006 |   server |       2.92
  1007 |   server |       0.00
  1009 |   server |      35.50
  1011 |   server |      32.83
  1012 |   server |       0.01
  1102 |   server |       8.76
  1103 |   server |       0.09
  1105 |   server |       0.02
  1106 |   server |       2.82
  1107 |   server |       0.00
  1109 |   server |      55.91
  1111 |   server |      33.64
  1112 |   server |       0.01
  1202 |   server |     119.37
