Layer,ID/Type,Time (ms)
0,LayerNorm1,0.1
0,QKV,8.15
0,Communication,1.6899999999999995
0,QK^T,0.11
0,Softmax,0.11
0,*V,0.02
0,Communication,1.6800000000000002
0,*Wo,3.5
0,Residual_Attn,0.0
0,LayerNorm2,0.11
0,FFN1,50.43
0,Communication,2.270000000000003
0,GELU,0.32
0,FFN2,40.09
0,Communication,3.1299999999999955
0,Residual_FFN,0.01
1,LayerNorm1,0.09
1,QKV,8.94
1,Communication,1.7100000000000009
1,QK^T,0.12
1,Softmax,0.08
1,*V,0.02
1,Communication,1.6600000000000001
1,*Wo,4.53
1,Residual_Attn,0.01
1,LayerNorm2,0.08
1,FFN1,40.25
1,Communication,2.3299999999999983
1,GELU,0.35
1,FFN2,32.77
1,Communication,2.9499999999999957
1,Residual_FFN,0.01
2,LayerNorm1,0.08
2,QKV,7.61
2,Communication,1.4799999999999995
2,QK^T,0.1
2,Softmax,0.07
2,*V,0.02
2,Communication,1.6399999999999997
2,*Wo,2.73
2,Residual_Attn,0.0
2,LayerNorm2,0.08
2,FFN1,34.9
2,Communication,1.9299999999999997
2,GELU,0.3
2,FFN2,34.42
2,Communication,2.75
2,Residual_FFN,0.01
3,LayerNorm1,0.08
3,QKV,8.03
3,Communication,1.3800000000000008
3,QK^T,0.1
3,Softmax,0.07
3,*V,0.02
3,Communication,1.3299999999999996
3,*Wo,2.7
3,Residual_Attn,0.0
3,LayerNorm2,0.08
3,FFN1,35.41
3,Communication,2.3700000000000045
3,GELU,0.33
3,FFN2,36.99
3,Communication,2.75
3,Residual_FFN,0.01
4,LayerNorm1,0.08
4,QKV,8.89
4,Communication,1.589999999999998
4,QK^T,0.14
4,Softmax,0.07
4,*V,0.04
4,Communication,1.6399999999999997
4,*Wo,2.71
4,Residual_Attn,0.0
4,LayerNorm2,0.08
4,FFN1,47.68
4,Communication,2.0799999999999983
4,GELU,0.32
4,FFN2,29.17
4,Communication,2.5799999999999983
4,Residual_FFN,0.01
5,LayerNorm1,0.09
5,QKV,7.77
5,Communication,1.3100000000000005
5,QK^T,0.1
5,Softmax,0.08
5,*V,0.02
5,Communication,1.52
5,*Wo,2.63
5,Residual_Attn,0.0
5,LayerNorm2,0.07
5,FFN1,40.4
5,Communication,1.9100000000000037
5,GELU,0.33
5,FFN2,28.17
5,Communication,2.6899999999999977
5,Residual_FFN,0.01
6,LayerNorm1,0.08
6,QKV,7.61
6,Communication,1.2600000000000007
6,QK^T,0.09
6,Softmax,0.07
6,*V,0.02
6,Communication,1.5099999999999998
6,*Wo,2.48
6,Residual_Attn,0.0
6,LayerNorm2,0.07
6,FFN1,43.0
6,Communication,1.8999999999999986
6,GELU,0.39
6,FFN2,33.52
6,Communication,2.5
6,Residual_FFN,0.01
7,LayerNorm1,0.08
7,QKV,10.92
7,Communication,1.5300000000000011
7,QK^T,0.12
7,Softmax,0.08
7,*V,0.02
7,Communication,1.6
7,*Wo,2.5
7,Residual_Attn,0.0
7,LayerNorm2,0.08
7,FFN1,35.24
7,Communication,2.059999999999995
7,GELU,0.55
7,FFN2,28.97
7,Communication,2.5599999999999987
7,Residual_FFN,0.01
8,LayerNorm1,0.08
8,QKV,8.33
8,Communication,1.58
8,QK^T,0.09
8,Softmax,0.09
8,*V,0.02
8,Communication,1.6600000000000001
8,*Wo,2.6
8,Residual_Attn,0.0
8,LayerNorm2,0.08
8,FFN1,36.96
8,Communication,2.030000000000001
8,GELU,0.3
8,FFN2,27.3
8,Communication,2.429999999999996
8,Residual_FFN,0.01
9,LayerNorm1,0.08
9,QKV,8.09
9,Communication,1.3499999999999996
9,QK^T,0.1
9,Softmax,0.08
9,*V,0.02
9,Communication,1.44
9,*Wo,2.39
9,Residual_Attn,0.0
9,LayerNorm2,0.07
9,FFN1,32.89
9,Communication,1.8999999999999986
9,GELU,0.29
9,FFN2,28.25
9,Communication,2.6799999999999997
9,Residual_FFN,0.01
10,LayerNorm1,0.08
10,QKV,8.09
10,Communication,1.2599999999999998
10,QK^T,0.1
10,Softmax,0.07
10,*V,0.02
10,Communication,1.4700000000000002
10,*Wo,2.28
10,Residual_Attn,0.0
10,LayerNorm2,0.07
10,FFN1,37.45
10,Communication,2.269999999999996
10,GELU,0.3
10,FFN2,28.16
10,Communication,2.5299999999999976
10,Residual_FFN,0.01
11,LayerNorm1,0.07
11,QKV,8.92
11,Communication,1.4300000000000015
11,QK^T,0.12
11,Softmax,0.07
11,*V,0.02
11,Communication,1.38
11,*Wo,2.43
11,Residual_Attn,0.0
11,LayerNorm2,0.06
11,FFN1,34.18
11,Communication,1.9699999999999989
11,GELU,0.3
11,FFN2,29.29
11,Communication,2.4299999999999997
11,Residual_FFN,0.01
0,Layer Total,111.71999999999998
1,Layer Total,95.89999999999999
2,Layer Total,88.12
3,Layer Total,91.65
4,Layer Total,97.08
5,Layer Total,87.10000000000001
6,Layer Total,94.51
7,Layer Total,86.32000000000001
8,Layer Total,83.56
9,Layer Total,79.64
10,Layer Total,84.16
11,Layer Total,82.67999999999999
All Layers,Total,1082.44
