 op_id | Executor |  Time (ms)
------------------------------
     1 |   client |       0.09
     2 |   server |      10.21
     4 |   client |       0.08
     5 |   server |       4.26
     8 |   client |       0.08
     9 |   server |      35.15
    10 |   client |       0.30
    11 |   server |      32.22
   101 |   client |       0.06
   102 |   server |       9.82
   104 |   client |       0.06
   105 |   server |       4.48
   108 |   client |       0.07
   109 |   server |      35.85
   110 |   client |       0.30
   111 |   server |      34.56
   201 |   client |       0.08
   202 |   server |      11.30
   204 |   client |       0.06
   205 |   server |       4.85
   208 |   client |       0.07
   209 |   server |      65.73
   210 |   client |       0.28
   211 |   server |      32.92
   301 |   client |       0.07
   302 |   server |      10.49
   304 |   client |       0.06
   305 |   server |       4.00
   308 |   client |       0.06
   309 |   server |      34.40
   310 |   client |       0.34
   311 |   server |      30.33
   401 |   client |       0.08
   402 |   server |       9.26
   404 |   client |       0.09
   405 |   server |       4.63
   408 |   client |       0.06
   409 |   server |      38.68
   410 |   client |       0.45
   411 |   server |      39.14
   501 |   client |       0.07
   502 |   server |       9.05
   504 |   client |       0.07
   505 |   server |       4.69
   508 |   client |       0.07
   509 |   server |      41.82
   510 |   client |       0.29
   511 |   server |      32.26
   601 |   client |       0.08
   602 |   server |       8.56
   604 |   client |       0.06
   605 |   server |       4.79
   608 |   client |       0.07
   609 |   server |      35.26
   610 |   client |       0.27
   611 |   server |      34.29
   701 |   client |       0.07
   702 |   server |       9.72
   704 |   client |       0.06
   705 |   server |       4.01
   708 |   client |       0.06
   709 |   server |      33.56
   710 |   client |       0.29
   711 |   server |      32.78
   801 |   client |       0.07
   802 |   server |       9.87
   804 |   client |       0.06
   805 |   server |       4.68
   808 |   client |       0.07
   809 |   server |      33.52
   810 |   client |       0.32
   811 |   server |      34.62
   901 |   client |       0.07
   902 |   server |      10.03
   904 |   client |       0.06
   905 |   server |       4.06
   908 |   client |       0.06
   909 |   server |      39.30
   910 |   client |       0.31
   911 |   server |      30.20
  1001 |   client |       0.07
  1002 |   server |      10.92
  1004 |   client |       0.06
  1005 |   server |       4.26
  1008 |   client |       0.06
  1009 |   server |      33.18
  1010 |   client |       0.32
  1011 |   server |      32.27
  1101 |   client |       0.07
  1102 |   server |      10.05
  1104 |   client |       0.06
  1105 |   server |       3.93
  1108 |   client |       0.06
  1109 |   server |      35.66
  1110 |   client |       0.32
  1111 |   server |      31.64
  1201 |   client |       0.07
  1202 |   server |     100.61
