 op_id | Executor |  Time (ms)
------------------------------
     2 |   server |       8.68
     3 |   server |       0.12
     5 |   server |       0.02
     6 |   server |       2.77
     7 |   server |       0.01
     9 |   server |      33.08
    11 |   server |      29.51
    12 |   server |       0.01
   102 |   server |       8.44
   103 |   server |       0.10
   105 |   server |       0.02
   106 |   server |       2.73
   107 |   server |       0.00
   109 |   server |      34.01
   111 |   server |      32.21
   112 |   server |       0.01
   202 |   server |       9.73
   203 |   server |       0.14
   205 |   server |       0.02
   206 |   server |       3.07
   207 |   server |       0.00
   209 |   server |      63.60
   211 |   server |      30.53
   212 |   server |       0.01
   302 |   server |       9.01
   303 |   server |       0.12
   305 |   server |       0.02
   306 |   server |       2.58
   307 |   server |       0.00
   309 |   server |      32.49
   311 |   server |      28.05
   312 |   server |       0.01
   402 |   server |       8.00
   403 |   server |       0.09
   405 |   server |       0.02
   406 |   server |       3.22
   407 |   server |       0.00
   409 |   server |      36.88
   411 |   server |      36.49
   412 |   server |       0.01
   502 |   server |       7.83
   503 |   server |       0.10
   505 |   server |       0.02
   506 |   server |       3.09
   507 |   server |       0.00
   509 |   server |      39.93
   511 |   server |      30.01
   512 |   server |       0.01
   602 |   server |       7.34
   603 |   server |       0.08
   605 |   server |       0.02
   606 |   server |       3.29
   607 |   server |       0.00
   609 |   server |      33.29
   611 |   server |      32.02
   612 |   server |       0.01
   702 |   server |       8.32
   703 |   server |       0.10
   705 |   server |       0.02
   706 |   server |       2.67
   707 |   server |       0.00
   709 |   server |      31.56
   711 |   server |      30.39
   712 |   server |       0.01
   802 |   server |       8.34
   803 |   server |       0.11
   805 |   server |       0.02
   806 |   server |       3.04
   807 |   server |       0.00
   809 |   server |      31.59
   811 |   server |      32.49
   812 |   server |       0.01
   902 |   server |       8.62
   903 |   server |       0.16
   905 |   server |       0.01
   906 |   server |       2.80
   907 |   server |       0.00
   909 |   server |      37.49
   911 |   server |      28.02
   912 |   server |       0.01
  1002 |   server |       9.49
  1003 |   server |       0.11
  1005 |   server |       0.02
  1006 |   server |       2.72
  1007 |   server |       0.00
  1009 |   server |      31.35
  1011 |   server |      30.02
  1012 |   server |       0.01
  1102 |   server |       8.67
  1103 |   server |       0.10
  1105 |   server |       0.01
  1106 |   server |       2.62
  1107 |   server |       0.00
  1109 |   server |      34.00
  1111 |   server |      29.50
  1112 |   server |       0.01
  1202 |   server |      97.88
