 op_id | Executor |  Time (ms)
------------------------------
     1 |   client |       0.07
     2 |   server |      10.80
     4 |   client |       0.15
     5 |   server |       7.58
     8 |   client |       0.16
     9 |   server |      39.70
    10 |   client |       0.30
    11 |   server |      35.35
   101 |   client |       0.07
   102 |   server |       9.57
   104 |   client |       0.07
   105 |   server |       4.02
   108 |   client |       0.07
   109 |   server |      39.11
   110 |   client |       0.31
   111 |   server |      37.40
   201 |   client |       0.09
   202 |   server |       9.85
   204 |   client |       0.08
   205 |   server |       4.43
   208 |   client |       0.09
   209 |   server |      40.32
   210 |   client |       0.33
   211 |   server |      37.81
   301 |   client |       0.08
   302 |   server |       9.46
   304 |   client |       0.14
   305 |   server |       3.97
   308 |   client |       0.07
   309 |   server |      38.31
   310 |   client |       0.40
   311 |   server |      33.72
   401 |   client |       0.09
   402 |   server |      13.81
   404 |   client |       0.07
   405 |   server |       4.39
   408 |   client |       0.07
   409 |   server |      39.97
   410 |   client |       0.32
   411 |   server |      31.10
   501 |   client |       0.08
   502 |   server |      10.18
   504 |   client |       0.08
   505 |   server |       3.87
   508 |   client |       0.06
   509 |   server |      40.71
   510 |   client |       0.36
   511 |   server |      34.54
   601 |   client |       0.08
   602 |   server |      10.64
   604 |   client |       0.07
   605 |   server |       3.98
   608 |   client |       0.07
   609 |   server |      42.09
   610 |   client |       0.32
   611 |   server |      36.09
   701 |   client |       0.09
   702 |   server |       8.98
   704 |   client |       0.07
   705 |   server |       3.68
   708 |   client |       0.06
   709 |   server |      38.88
   710 |   client |       0.32
   711 |   server |      31.39
   801 |   client |       0.14
   802 |   server |      10.33
   804 |   client |       0.08
   805 |   server |       4.05
   808 |   client |       0.08
   809 |   server |      48.21
   810 |   client |       0.32
   811 |   server |      30.16
   901 |   client |       0.08
   902 |   server |       9.33
   904 |   client |       0.07
   905 |   server |       4.00
   908 |   client |       0.07
   909 |   server |      47.15
   910 |   client |       0.30
   911 |   server |      36.63
  1001 |   client |       0.08
  1002 |   server |       9.95
  1004 |   client |       0.07
  1005 |   server |       3.88
  1008 |   client |       0.06
  1009 |   server |      34.09
  1010 |   client |       0.27
  1011 |   server |      32.78
  1101 |   client |       0.10
  1102 |   server |       9.56
  1104 |   client |       0.07
  1105 |   server |       4.01
  1108 |   client |       0.08
  1109 |   server |      36.28
  1110 |   client |       0.30
  1111 |   server |      39.65
  1201 |   client |       0.08
  1202 |   server |      53.17
