 op_id | Executor |  Time (ms)
------------------------------
     2 |   server |       8.32
     3 |   server |       0.26
     5 |   server |       0.02
     6 |   server |       4.46
     7 |   server |       0.01
     9 |   server |      37.15
    11 |   server |      32.61
    12 |   server |       0.01
   102 |   server |       7.74
   103 |   server |       0.11
   105 |   server |       0.02
   106 |   server |       2.47
   107 |   server |       0.00
   109 |   server |      36.64
   111 |   server |      34.40
   112 |   server |       0.01
   202 |   server |       8.11
   203 |   server |       0.12
   205 |   server |       0.02
   206 |   server |       2.72
   207 |   server |       0.00
   209 |   server |      38.36
   211 |   server |      35.17
   212 |   server |       0.01
   302 |   server |       7.96
   303 |   server |       0.11
   305 |   server |       0.02
   306 |   server |       2.51
   307 |   server |       0.00
   309 |   server |      36.02
   311 |   server |      30.76
   312 |   server |       0.01
   402 |   server |      11.78
   403 |   server |       0.13
   405 |   server |       0.02
   406 |   server |       2.53
   407 |   server |       0.00
   409 |   server |      37.79
   411 |   server |      28.70
   412 |   server |       0.01
   502 |   server |       8.30
   503 |   server |       0.11
   505 |   server |       0.02
   506 |   server |       2.38
   507 |   server |       0.00
   509 |   server |      38.80
   511 |   server |      32.06
   512 |   server |       0.01
   602 |   server |       9.05
   603 |   server |       0.12
   605 |   server |       0.02
   606 |   server |       2.53
   607 |   server |       0.00
   609 |   server |      40.12
   611 |   server |      33.31
   612 |   server |       0.01
   702 |   server |       7.21
   703 |   server |       0.10
   705 |   server |       0.02
   706 |   server |       2.24
   707 |   server |       0.00
   709 |   server |      36.72
   711 |   server |      28.90
   712 |   server |       0.01
   802 |   server |       8.67
   803 |   server |       0.11
   805 |   server |       0.02
   806 |   server |       2.43
   807 |   server |       0.00
   809 |   server |      46.17
   811 |   server |      27.49
   812 |   server |       0.01
   902 |   server |       7.88
   903 |   server |       0.11
   905 |   server |       0.02
   906 |   server |       2.40
   907 |   server |       0.00
   909 |   server |      44.89
   911 |   server |      33.74
   912 |   server |       0.01
  1002 |   server |       8.43
  1003 |   server |       0.13
  1005 |   server |       0.02
  1006 |   server |       2.39
  1007 |   server |       0.00
  1009 |   server |      32.13
  1011 |   server |      30.19
  1012 |   server |       0.01
  1102 |   server |       7.74
  1103 |   server |       0.10
  1105 |   server |       0.02
  1106 |   server |       2.44
  1107 |   server |       0.00
  1109 |   server |      33.20
  1111 |   server |      36.92
  1112 |   server |       0.01
  1202 |   server |      49.41
